experiment_id,seed,hospital,aggregation_level,model_family,feature_setting,federated_strategy,latent_dimension,encoder_configuration,fedprox_mu,secure_aggregation,differential_privacy,privacy_epsilon,sample_count,positive_count,negative_count,tp,tn,fp,fn,accuracy,precision,recall,sensitivity,specificity,f1,roc_auc,pr_auc,brier_score,ece,shared_parameter_count,private_parameter_count,communication_per_round,total_communication
heterogeneous_fedavg_mlp,42,hospital_3,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,19,18,1,17,0,1,1,0.8947368421052632,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.9444444444444444,0.25,0.931217192536852,0.08658332807332685,0.09410775884201654,1089,3744,26136,392040
heterogeneous_fedavg_mlp,42,ALL,macro,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,48,44,10,7,0.8535815824145344,0.8282828282828283,0.8713624338624338,0.8713624338624338,0.5538095238095239,0.848786543040989,0.6925892857142858,0.897975298305889,0.11407136056500183,0.10733470266317942,1089,3744,26136,392040
heterogeneous_fedavg_mlp,42,ALL,sample_weighted,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,48,44,10,7,0.8440366972477065,0.8014549161338154,0.8543395951652831,0.8543395951652831,0.8148148148148148,0.8266342309628496,0.7985878112712974,0.8911597379901304,0.1203673974041344,0.11000310899604351,1089,3744,26136,392040
heterogeneous_fedavg_mlp,123,hospital_1,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,46,21,25,19,21,4,2,0.8695652173913043,0.8260869565217391,0.9047619047619048,0.9047619047619048,0.84,0.8636363636363636,0.9447619047619048,0.9550157210558217,0.09560926385710934,0.1065921599612288,1089,3744,26136,392040
heterogeneous_fedavg_mlp,123,hospital_2,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,44,16,28,13,24,4,3,0.8409090909090909,0.7647058823529411,0.8125,0.8125,0.8571428571428571,0.7878787878787878,0.9084821428571428,0.8457282646203388,0.12977945386451725,0.13303078901530666,1089,3744,26136,392040
heterogeneous_fedavg_mlp,123,hospital_3,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,19,18,1,17,0,1,1,0.8947368421052632,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.9444444444444444,0.0,0.8321431184627779,0.07428884066985475,0.08310492728885853,1089,3744,26136,392040
heterogeneous_fedavg_mlp,123,ALL,macro,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,49,45,9,6,0.8684037168018861,0.8450790944397083,0.8872354497354497,0.8872354497354497,0.5657142857142857,0.8653198653198654,0.6177480158730159,0.8776290347129795,0.09989251946382711,0.10757595875513133,1089,3744,26136,392040
heterogeneous_fedavg_mlp,123,ALL,sample_weighted,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,49,45,9,6,0.8623853211009175,0.8219403969538885,0.8744357070045143,0.8744357070045143,0.8333333333333334,0.8471411361319617,0.7654335954565312,0.8894815235106008,0.10568633101094521,0.11317052929704889,1089,3744,26136,392040
heterogeneous_fedavg_mlp,2026,hospital_1,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,46,21,25,20,19,6,1,0.8478260869565217,0.7692307692307693,0.9523809523809523,0.9523809523809523,0.76,0.851063829787234,0.9523809523809523,0.9570787302971027,0.11191538668516177,0.1649422587259956,1089,3744,26136,392040
heterogeneous_fedavg_mlp,2026,hospital_2,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,44,16,28,8,25,3,8,0.75,0.7272727272727273,0.5,0.5,0.8928571428571429,0.5925925925925926,0.90625,0.8476883634497486,0.14270197568990864,0.18704292144287715,1089,3744,26136,392040
heterogeneous_fedavg_mlp,2026,hospital_3,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,19,18,1,18,0,1,0,0.9473684210526315,0.9473684210526315,1.0,1.0,0.0,0.972972972972973,0.2777777777777778,0.9358468221664817,0.06658899235180782,0.11387944221496582,1089,3744,26136,392040
heterogeneous_fedavg_mlp,2026,ALL,macro,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,46,44,10,9,0.8483981693363845,0.8146239725187093,0.8174603174603176,0.8174603174603176,0.550952380952381,0.8055431317842666,0.7121362433862434,0.913537971971111,0.1070687849089594,0.15528820746127953,1089,3744,26136,392040
heterogeneous_fedavg_mlp,2026,ALL,sample_weighted,Heterogeneous_Composite_MLP,heterogeneous_native,FedAvg,32.0,2_Layer_MLP,0.0,False,False,,109,55,54,46,44,10,9,0.8256880733944955,0.7833450952717008,0.7780690257754478,0.7780690257754478,0.8148148148148148,0.7679770342272783,0.8161679044706567,0.9092201762075119,0.11644206947300705,0.164962769238227,1089,3744,26136,392040
heterogeneous_fedprox_mlp_mu_0001,42,hospital_1,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedProx,32.0,2_Layer_MLP,0.001,False,False,,46,21,25,18,21,4,3,0.8478260869565217,0.8181818181818182,0.8571428571428571,0.8571428571428571,0.84,0.8372093023255814,0.9371428571428572,0.942050938984081,0.11284302640941872,0.08835397369187811,1089,3744,26136,392040
heterogeneous_fedprox_mlp_mu_0001,42,hospital_2,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedProx,32.0,2_Layer_MLP,0.001,False,False,,44,16,28,13,24,4,3,0.8409090909090909,0.7647058823529411,0.8125,0.8125,0.8571428571428571,0.7878787878787878,0.890625,0.8206577633967339,0.14164104044549508,0.15572651086205785,1089,3744,26136,392040
heterogeneous_fedprox_mlp_mu_0001,42,hospital_3,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedProx,32.0,2_Layer_MLP,0.001,False,False,,19,18,1,17,0,1,1,0.8947368421052632,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.9444444444444444,0.2777777777777778,0.9358468221664817,0.0862877810714247,0.09402093056001162,1089,3744,26136,392040
heterogeneous_fedprox_mlp_mu_0001,42,ALL,macro,Heterogeneous_Composite_MLP,heterogeneous_native,FedProx,32.0,2_Layer_MLP,0.001,False,False,,109,55,54,48,45,9,7,0.861157339990292,0.8424440483264014,0.8713624338624338,0.8713624338624338,0.5657142857142857,0.8565108448829379,0.701848544973545,0.8995185081824322,0.11359061597544617,0.1127004717046492,1089,3744,26136,392040
heterogeneous_fedprox_mlp_mu_0001,42,ALL,sample_weighted,Heterogeneous_Composite_MLP,heterogeneous_native,FedProx,32.0,2_Layer_MLP,0.001,False,False,,109,55,54,48,45,9,7,0.8532110091743119,0.818604283526032,0.8543395951652831,0.8543395951652831,0.8333333333333334,0.8359884313586042,0.8034298092325615,0.891966737650341,0.11983901683295517,0.11653804539813908,1089,3744,26136,392040
heterogeneous_fedprox_mlp_mu_001,42,hospital_1,hospital,Heterogeneous_Composite_MLP,heterogeneous_native,FedProx,32.0,2_Layer_MLP,0.01,False,False,,46,21,25,18,21,4,3,0.8478260869565217,0.8181818181818182,0.8571428571428571,0.8571428571428571,0.84,0.8372093023255814,0.939047619047619,0.9422822482910205,0.11210122407960225,0.11827637627720831,1089,3744,26136,392040
