experiment_id,aggregation_level,metric,mean,std,ci_95,n_seeds
heterogeneous_fedadam_secure_aggregation_dp,macro,pr_auc,0.9023807416899539,0.019996428986455653,0.02262808956999636,3
heterogeneous_fedadam_secure_aggregation_dp,macro,brier_score,0.11399567051961396,0.0036789167874549207,0.00416308625122413,3
heterogeneous_fedadam_secure_aggregation_dp,macro,ece,0.13524813052618417,0.004810864285674442,0.005444005429123036,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,accuracy,0.8256880733944955,0.01834862385321101,0.02076342252498471,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,precision,0.7560028496617811,0.02488662878755636,0.02816187158624719,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,recall,0.8893014902189212,0.02200923600831535,0.02490579513475539,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,sensitivity,0.8893014902189212,0.02200923600831535,0.02490579513475539,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,specificity,0.7407407407407408,0.03207501495497923,0.03629629629629631,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,f1,0.8148259970710051,0.02229039451545565,0.025223955936728902,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,roc_auc,0.8208906121062084,0.009294052765030715,0.010517210776876016,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,pr_auc,0.8929660086695815,0.026549992417888725,0.030044144728123136,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,brier_score,0.1248251827234756,0.009779505663761212,0.01106655244592745,3
heterogeneous_fedadam_secure_aggregation_dp,sample_weighted,ece,0.15255165038009486,0.016154833529860923,0.01828091507487044,3
heterogeneous_fedavg_dp,hospital,accuracy,0.8521831588193144,0.05251401180987164,0.034309154382449476,9
heterogeneous_fedavg_dp,hospital,precision,0.8208711763256086,0.10368842744901352,0.0677431059333555,9
heterogeneous_fedavg_dp,hospital,recall,0.8742283950617283,0.09962063519075907,0.06508548165796259,9
heterogeneous_fedavg_dp,hospital,sensitivity,0.8742283950617283,0.09962063519075907,0.06508548165796259,9
heterogeneous_fedavg_dp,hospital,specificity,0.5395238095238095,0.41054219997362473,0.26822090398276816,9
heterogeneous_fedavg_dp,hospital,f1,0.8442040765084223,0.09113503011870452,0.059541553010886955,9
heterogeneous_fedavg_dp,hospital,roc_auc,0.6975143298059965,0.33336482975454895,0.21779835543963866,9
heterogeneous_fedavg_dp,hospital,pr_auc,0.8924527381719444,0.07789934513626284,0.05089423882235839,9
heterogeneous_fedavg_dp,hospital,brier_score,0.12118447348575792,0.034726805757736616,0.022688179761721255,9
heterogeneous_fedavg_dp,hospital,ece,0.12533266155365524,0.043980623983978125,0.028734007669532376,9
heterogeneous_fedavg_dp,macro,accuracy,0.8521831588193144,0.0056103933966198455,0.006348757790084406,3
heterogeneous_fedavg_dp,macro,precision,0.8208711763256084,0.021044354383353926,0.02381392878957649,3
heterogeneous_fedavg_dp,macro,recall,0.8742283950617283,0.055066557510808606,0.062313675932334264,3
heterogeneous_fedavg_dp,macro,sensitivity,0.8742283950617283,0.055066557510808606,0.062313675932334264,3
heterogeneous_fedavg_dp,macro,specificity,0.5395238095238094,0.04000850249770471,0.04527388258637032,3
heterogeneous_fedavg_dp,macro,f1,0.8442040765084223,0.014260572415430597,0.01613735683278013,3
heterogeneous_fedavg_dp,macro,roc_auc,0.6975143298059966,0.017521598337939055,0.01982755505340156,3
heterogeneous_fedavg_dp,macro,pr_auc,0.8924527381719444,0.025993208605088778,0.029414084531090203,3
heterogeneous_fedavg_dp,macro,brier_score,0.12118447348575791,0.02026894350163891,0.022936468774246658,3
heterogeneous_fedavg_dp,macro,ece,0.12533266155365522,0.017754385622564293,0.020090978664228477,3
heterogeneous_fedavg_dp,sample_weighted,accuracy,0.8379204892966361,0.005296791460455315,0.0059938837920489665,3
heterogeneous_fedavg_dp,sample_weighted,precision,0.7915021307479018,0.027268368112392763,0.03085706335330147,3
heterogeneous_fedavg_dp,sample_weighted,recall,0.8541454298335033,0.0627270339115231,0.0709823210319979,3
heterogeneous_fedavg_dp,sample_weighted,sensitivity,0.8541454298335033,0.0627270339115231,0.0709823210319979,3
heterogeneous_fedavg_dp,sample_weighted,specificity,0.7962962962962963,0.05555555555555558,0.06286702931175928,3
heterogeneous_fedavg_dp,sample_weighted,f1,0.8186718447249035,0.015403977181903866,0.01743124113022358,3
heterogeneous_fedavg_dp,sample_weighted,roc_auc,0.8024750012135334,0.00666850133001625,0.007546119634433469,3
heterogeneous_fedavg_dp,sample_weighted,pr_auc,0.8831986596853397,0.03578313595490726,0.040492430224988774,3
heterogeneous_fedavg_dp,sample_weighted,brier_score,0.12928832465619203,0.019451844865346252,0.0220118346237153,3
heterogeneous_fedavg_dp,sample_weighted,ece,0.13552788000294672,0.016918208662149672,0.01914475535758481,3
heterogeneous_fedavg_mlp,hospital,accuracy,0.8567944895176017,0.05540214860552127,0.0361960704222739,9
heterogeneous_fedavg_mlp,hospital,precision,0.829328631747082,0.09370598690441655,0.06122124477755214,9
heterogeneous_fedavg_mlp,hospital,recall,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_fedavg_mlp,hospital,sensitivity,0.8586860670194003,0.149375668350888,0.09759210332258016,9
heterogeneous_fedavg_mlp,hospital,specificity,0.5568253968253969,0.4190677078518128,0.2737909024631843,9
heterogeneous_fedavg_mlp,hospital,f1,0.8398831800483735,0.11714526069376864,0.07653490365326218,9
heterogeneous_fedavg_mlp,hospital,roc_auc,0.674157848324515,0.38192674044996483,0.24952547042731035,9
heterogeneous_fedavg_mlp,hospital,pr_auc,0.8963807683299932,0.05785357181529796,0.037797666919328,9
heterogeneous_fedavg_mlp,hospital,brier_score,0.10701088831259611,0.02814645844777023,0.018389019519209883,9
heterogeneous_fedavg_mlp,hospital,ece,0.12339962295986344,0.03589799050287002,0.023453353795208413,9
heterogeneous_fedavg_mlp,macro,accuracy,0.8567944895176017,0.010382560444722432,0.01174897317257059,3
heterogeneous_fedavg_mlp,macro,precision,0.8293286317470819,0.015254471196016983,0.017262059180676963,3
heterogeneous_fedavg_mlp,macro,recall,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_fedavg_mlp,macro,sensitivity,0.8586860670194003,0.03657403420812933,0.04138741585101154,3
heterogeneous_fedavg_mlp,macro,specificity,0.5568253968253969,0.00782943647945302,0.008859841427669943,3
heterogeneous_fedavg_mlp,macro,f1,0.8398831800483736,0.030866921979364876,0.034929210399129315,3
heterogeneous_fedavg_mlp,macro,roc_auc,0.6741578483245151,0.04982040532213663,0.05637709587078882,3
heterogeneous_fedavg_mlp,macro,pr_auc,0.8963807683299931,0.018007493943775984,0.020377397692704455,3
heterogeneous_fedavg_mlp,macro,brier_score,0.1070108883125961,0.007089597855661012,0.008022635211607674,3
heterogeneous_fedavg_mlp,macro,ece,0.12339962295986344,0.027616587719221257,0.03125111093343096,3
heterogeneous_fedavg_mlp,sample_weighted,accuracy,0.8440366972477064,0.01834862385321101,0.02076342252498471,3
heterogeneous_fedavg_mlp,sample_weighted,precision,0.8022468027864682,0.019309832763070682,0.021851132801780408,3
heterogeneous_fedavg_mlp,sample_weighted,recall,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_fedavg_mlp,sample_weighted,sensitivity,0.8356147759817484,0.050838946221063476,0.0575296834006539,3
heterogeneous_fedavg_mlp,sample_weighted,specificity,0.8209876543209876,0.010691671651659785,0.012098765432098821,3
heterogeneous_fedavg_mlp,sample_weighted,f1,0.8139174671073631,0.04108559138932932,0.046492723406950744,3
